,city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
count,30844,30844,30844,30844,30844.0,30844,30844.0,30844.0,30844.0,30844.0,30844,30844,30844,30844,30844.0,30842,30844.0
unique,20721,20714,52,52,,1906,,,,,2,2,2,38,,25233,
top,Franklin,Franklin,TX,Texas,,Jefferson,,,,,shape,False,True,America/Chicago,,78582,
freq,29,29,1837,1837,,400,,,,,30838,30748,20219,12718,,72,
mean,,,,,30013.622195564778,,38.61040563480742,-92.9147009175204,13017.464433925561,467.9200719751005,,,,,2.980482427700687,,1838109589.9725716
std,,,,,15857.565141641186,,5.880369692599483,15.707398881115877,179089.83324933346,723.964585192909,,,,,0.28946028871871615,,19950634.760306787
min,,,,,1001.0,,17.9559,-176.6295,0.0,0.0,,,,,1.0,,1630023526.0
25%,,,,,17191.0,,35.132625,-98.368325,284.0,89.775,,,,,3.0,,1840008230.75
50%,,,,,30043.0,,39.30795,-90.25235,977.0,251.7,,,,,3.0,,1840016110.5
75%,,,,,42049.0,,41.7435,-81.78605,3835.0,549.7,,,,,3.0,,1840024299.25
max,,,,,72153.0,,71.2727,174.111,18972871.0,28653.9,,,,,5.0,,1840153164.0
