,State,Property Tax Rate,Income Tax Rate,Corporate Tax Rate,Sate-Local Tax Burden,Sales Tax Rate
count,50,50.0,50.0,50.0,50.0,50.0
unique,50,,,,,
top,Alabama,,,,,
freq,1,,,,,
mean,,0.009994,0.025436000000000004,0.059500000000000004,0.10556000000000001,0.050884
std,,0.004570687886423885,0.018866932091111482,0.028234621965789103,0.020503021181060625,0.019802745223007512
min,,0.0031,0.0,0.0,0.046,0.0
25%,,0.00615,0.01,0.049,0.093,0.044625
50%,,0.00865,0.0233,0.0645,0.102,0.06
75%,,0.013525,0.04,0.07825,0.115,0.0625
max,,0.0213,0.07,0.115,0.159,0.0725
